year lat long depth NAFO sfa stratum biomass
1991 266.5 46.5 739.2508 3K 6 5 102.321562112028
1992 285.5 63.5 744.2246 3K 6 5 79.5126221544789
1993 276.5 37.5 613.1421 3K 6 5 1095.75393196842
1994 286.5 67.5 709.995 3K 6 5 542.500174537091
1995 274.5 42.5 653.2486 3K 6 5 56.135483596179
1996 283.5 44.5 768.7368 3K 6 5 103.488737817531
1997 289.5 43.5 762.2767 3K 6 5 213.622483852468
1998 296.5 43.5 853.3357 3K 6 5 378.668960706641
1999 282.5 46.5 803.7202 3K 6 5 85.9406641337505
2000 264.5 41.5 761.6447 3K 6 5 192.56802416689
2001 268.5 35.5 660.715 3K 6 5 155.054254188649
2002 291.5 45.5 881.7282 3K 6 5 92.8518434646959
2003 275.5 53.5 691.0708 3K 6 5 63.4425702386847
2004 286.5 55.5 738.4365 3K 6 5 574.8603433903
2005 302.5 40.5 783.6805 3K 6 5 217.433758774519
2006 289.5 70.5 738.857 3K 6 5 5.68842080258555
2007 274.5 55.5 715.5533 3K 6 5 289.597698814115
2008 281.5 50.5 708.029 3K 6 5 178.927349796191
2009 288.5 54.5 777.6511 3K 6 5 64.1404377013066
2010 273.5 49.5 781.0541 3K 6 5 1301.32128796577
2011 265.5 50.5 819.0899 3K 6 5 48.4769039629062
2012 271.5 51.5 763.5295 3K 6 5 435.586876252502
2013 287.5 74.5 675.1315 3K 6 5 542.986528750042
2014 291.5 46.5 739.2303 3K 6 5 185.548174205387
2015 280.5 58.5 808.3369 3K 6 5 227.38668668845
2016 292.5 39.5 759.1863 3K 6 5 716.472138143946
2017 294.5 41.5 736.2964 3K 6 5 179.879648620034
2018 292.5 40.5 727.1487 3K 6 5 318.246857763912
2019 280.5 50.5 733.6349 3K 6 5 179.403902738321
2020 288.5 70.5 721.5702 3K 6 5 228.258525476853
2021 280.5 57.5 721.663 3K 6 5 659.768040348247
2022 277.5 42.5 633.5359 3K 6 5 281.721027237317
2023 285.5 69.5 728.4003 3K 6 5 339.726815053384
2024 301.5 45.5 815.7935 3K 6 5 935.400633234889
2025 298.5 46.5 825.8346 3K 6 5 703.863478170574
2026 290.5 45.5 776.5692 3K 6 5 85.1987142029777
2027 285.5 52.5 824.92 3K 6 5 4.19701178650179
2028 296.5 43.5 853.3357 3K 6 5 5.28869467889741
2029 276.5 47.5 739.4597 3K 6 5 91.2311292910341
2030 291.5 41.5 754.8543 3K 6 5 165.307339129566
2031 276.5 55.5 764.5263 3K 6 5 158.947245969662
2032 297.5 49.5 789.3431 3K 6 5 132.966492821242
2033 287.5 45.5 760.8998 3K 6 5 8.18681713122849
2034 282.5 70.5 756.8507 3K 6 5 1198.58448162904
2035 279.5 77.5 749.2405 3K 6 5 135.652191298551
2036 281.5 37.5 684.148 3K 6 5 203.434705846489
2037 298.5 37.5 817.1677 3K 6 5 42.2476672508379
2038 277.5 75.5 809.5917 3K 6 5 68.9716946026722
2039 266.5 43.5 858.1589 3K 6 5 130.907459728023
2040 262.5 44.5 794.9389 3K 6 5 151.816710600362
2041 275.5 77.5 839.4896 3K 6 5 99.8902517437646
2042 262.5 48.5 787.0213 3K 6 5 320.31867589108
2043 304.5 40.5 752.0553 3K 6 5 716.915306863395
2044 293.5 39.5 755.7165 3K 6 5 188.126406726532
2045 299.5 47.5 873.638 3K 6 5 125.438622495897
2046 298.5 50.5 810.2339 3K 6 5 55.0609412619236
2047 290.5 71.5 750.167 3K 6 5 190.967068419993
2048 263.5 39.5 735.7272 3K 6 5 62.6891336302367
2049 267.5 46.5 809.2227 3K 6 5 618.397369607088
2050 279.5 79.5 818.4668 3K 6 5 623.264471132002
