biomass     C:\Users\jpw\OneDrive\Masters 2020-2022\Main Project\Ogmap2 - Demo
Using bandwidths  [ 0.622, 20.2, 1.05 ] 
Year Estimate Mass50 LowCIprob UpCIprob LowCIval UpCIval LRP USR ProbLRP ProbUSR Gini
1991 150 48.3 0.025 0.975 126 175 na na na na na 
1992 145 48.3 0.025 0.975 124 167 na na na na na 
1993 137 47.9 0.025 0.975 117 158 na na na na na 
1994 164 48.2 0.025 0.975 141 187 na na na na na 
1995 144 48.1 0.025 0.975 126 163 na na na na na 
1996 133 46.7 0.025 0.975 114 155 na na na na na 
1997 135 48.4 0.025 0.975 115 155 na na na na na 
1998 158 47.1 0.025 0.975 137 180 na na na na na 
1999 140 48.2 0.025 0.975 121 159 na na na na na 
2000 121 47.9 0.025 0.975 97.8 147 na na na na na 
2001 156 48.4 0.025 0.975 130 182 na na na na na 
2002 155 48.7 0.025 0.975 133 178 na na na na na 
2003 148 48.2 0.025 0.975 128 169 na na na na na 
2004 141 47.3 0.025 0.975 123 161 na na na na na 
2005 131 47.5 0.025 0.975 110 154 na na na na na 
2006 126 47.8 0.025 0.975 109 146 na na na na na 
2007 128 47.5 0.025 0.975 107 151 na na na na na 
2008 143 47.1 0.025 0.975 123 163 na na na na na 
2009 157 46.7 0.025 0.975 132 183 na na na na na 
2010 140 48.4 0.025 0.975 123 159 na na na na na 
2011 143 47.6 0.025 0.975 122 168 na na na na na 
2012 153 47.1 0.025 0.975 132 177 na na na na na 
2013 139 47.5 0.025 0.975 119 160 na na na na na 
2014 135 47.7 0.025 0.975 118 154 na na na na na 
2015 118 46.5 0.025 0.975 100 139 na na na na na 
2016 157 47.7 0.025 0.975 133 184 na na na na na 
2017 141 47.8 0.025 0.975 124 161 na na na na na 
2018 140 48.6 0.025 0.975 119 161 na na na na na 
2019 144 47.0 0.025 0.975 123 167 na na na na na 
2020 135 47.9 0.025 0.975 117 155 na na na na na 
2021 121 48.7 0.025 0.975 104 139 na na na na na 
2022 131 48.7 0.025 0.975 112 152 na na na na na 
2023 156 47.6 0.025 0.975 133 181 na na na na na 
2024 149 48.0 0.025 0.975 131 168 na na na na na 
2025 136 47.9 0.025 0.975 114 158 na na na na na 
2026 129 48.2 0.025 0.975 111 148 na na na na na 
2027 120 47.9 0.025 0.975 99.1 140 na na na na na 
2028 149 47.6 0.025 0.975 129 171 na na na na na 
2029 142 47.4 0.025 0.975 121 163 na na na na na 
2030 146 48.0 0.025 0.975 126 167 na na na na na 
2031 142 48.0 0.025 0.975 122 164 na na na na na 
2032 127 47.0 0.025 0.975 107 149 na na na na na 
2033 163 48.3 0.025 0.975 141 187 na na na na na 
2034 107 47.7 0.025 0.975 89.3 127 na na na na na 
2035 131 47.7 0.025 0.975 113 150 na na na na na 
2036 150 47.3 0.025 0.975 131 170 na na na na na 
2037 128 45.8 0.025 0.975 110 147 na na na na na 
2038 126 47.8 0.025 0.975 106 146 na na na na na 
2039 110 48.4 0.025 0.975 94.9 127 na na na na na 
2040 137 47.7 0.025 0.975 115 159 na na na na na 
2041 157 48.4 0.025 0.975 135 180 na na na na na 
2042 165 47.8 0.025 0.975 142 188 na na na na na 
2043 138 48.3 0.025 0.975 120 158 na na na na na 
2044 139 47.4 0.025 0.975 119 161 na na na na na 
2045 116 47.5 0.025 0.975 98.3 135 na na na na na 
2046 131 47.2 0.025 0.975 112 152 na na na na na 
2047 122 47.7 0.025 0.975 102 144 na na na na na 
2048 119 48.0 0.025 0.975 103 135 na na na na na 
2049 120 47.5 0.025 0.975 99.9 142 na na na na na 
2050 149 48.2 0.025 0.975 128 172 na na na na na 
2051 159 48.4 0.025 0.975 138 181 na na na na na 
2052 134 48.4 0.025 0.975 114 156 na na na na na 
2053 130 47.6 0.025 0.975 109 152 na na na na na 
2054 130 47.9 0.025 0.975 112 148 na na na na na 
2055 141 47.8 0.025 0.975 120 161 na na na na na 
2056 140 48.7 0.025 0.975 121 161 na na na na na 
2057 119 47.6 0.025 0.975 104 136 na na na na na 
2058 117 48.3 0.025 0.975 99 137 na na na na na 
2059 119 47.5 0.025 0.975 99.1 139 na na na na na 
2060 151 48.2 0.025 0.975 129 174 na na na na na 
2061 140 48.6 0.025 0.975 121 160 na na na na na 
2062 132 48.0 0.025 0.975 114 151 na na na na na 
2063 118 47.7 0.025 0.975 102 134 na na na na na 
2064 128 47.9 0.025 0.975 111 146 na na na na na 
2065 136 47.3 0.025 0.975 114 160 na na na na na 
2066 123 48.2 0.025 0.975 103 144 na na na na na 
2067 141 46.5 0.025 0.975 120 162 na na na na na 
2068 148 47.5 0.025 0.975 127 171 na na na na na 
2069 122 48.6 0.025 0.975 104 142 na na na na na 
2070 129 46.9 0.025 0.975 108 154 na na na na na 
2071 116 47.5 0.025 0.975 97.5 136 na na na na na 
2072 134 48.6 0.025 0.975 116 152 na na na na na 
2073 135 48.6 0.025 0.975 119 152 na na na na na 
2074 146 48.4 0.025 0.975 121 174 na na na na na 
2075 134 47.5 0.025 0.975 117 153 na na na na na 
2076 138 48.2 0.025 0.975 119 158 na na na na na 
2077 143 46.8 0.025 0.975 121 166 na na na na na 
2078 141 47.3 0.025 0.975 122 162 na na na na na 
2079 165 48.0 0.025 0.975 140 190 na na na na na 
2080 143 48.2 0.025 0.975 122 165 na na na na na 
2081 144 47.5 0.025 0.975 123 165 na na na na na 
2082 129 46.7 0.025 0.975 110 149 na na na na na 
2083 163 46.1 0.025 0.975 139 191 na na na na na 
2084 154 48.1 0.025 0.975 133 178 na na na na na 
2085 129 47.3 0.025 0.975 108 151 na na na na na 
2086 135 48.3 0.025 0.975 114 156 na na na na na 
2087 132 47.3 0.025 0.975 112 153 na na na na na 
2088 147 47.4 0.025 0.975 125 171 na na na na na 
2089 168 48.1 0.025 0.975 143 195 na na na na na 
2090 163 47.7 0.025 0.975 141 187 na na na na na 
2091 159 47.8 0.025 0.975 138 184 na na na na na 
2092 134 47.5 0.025 0.975 115 154 na na na na na 
2093 147 46.8 0.025 0.975 122 170 na na na na na 
2094 145 47.2 0.025 0.975 126 165 na na na na na 
2095 110 48.1 0.025 0.975 96 128 na na na na na 
